ccvm,name,cnpj,type,situation
503088,AGROPEC DIAMANTE SA - AGRODISA,06.645.196/0001-58,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
512699,AGROPEC DO BOSQUE SA,04.713.087/0001-03,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
512850,AGROPEC DO CACHIMBO SA,03.208.360/0001-71,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 03/06/1993
507016,AGROPEC DO GUAMA SA,14.123.228/0001-83,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
502715,AGROPEC DO RETIRO SA,09.574.971/0001-10,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
520152,AGROPEC DUPLO T SA,07.363.351/0001-06,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 13/10/2015
520667,AGROPEC E INDL MACHADO SA-AGRIMA,06.976.187/0001-40,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 05/10/2017
515817,AGROPEC E INDL SANTANA SA,06.997.449/0001-52,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
511854,AGROPEC ESTRELA DO NORTE SA,31.741.259/0001-17,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 07/08/2006
511293,AGROPEC ESTRELA SA,24.067.092/0001-95,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
501603,AGROPEC FAZ CATALUNHA SA,11.642.808/0001-99,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 20/09/2005
502774,AGROPEC FAZ PARANA SA,10.246.999/0001-07,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 23/07/2002
503916,AGROPEC FAZ PAU LEITE SA,09.260.597/0001-88,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
